5114 ; capteur   1 ; 66.78 ; mm
5126 ; capteur   2 ; 73.80 ; mm
5138 ; capteur   3 ; 59.00 ; mm
5150 ; capteur   4 ; 67.28 ; mm
5160 ; temperature ; 26.92 ; °C
5173 ; capteur   1 ; 67.64 ; mm
5186 ; capteur   2 ; 72.72 ; mm
5198 ; capteur   3 ; 59.58 ; mm
5210 ; capteur   4 ; 65.86 ; mm
5220 ; temperature ; 26.92 ; °C
5234 ; capteur   1 ; 67.54 ; mm
5246 ; capteur   2 ; 73.38 ; mm
5258 ; capteur   3 ; 59.94 ; mm
5270 ; capteur   4 ; 66.02 ; mm
5280 ; temperature ; 26.84 ; °C
5293 ; capteur   1 ; 66.32 ; mm
5306 ; capteur   2 ; 72.54 ; mm
5318 ; capteur   3 ; 59.78 ; mm
5330 ; capteur   4 ; 66.86 ; mm
5340 ; temperature ; 26.84 ; °C
5354 ; capteur   1 ; 67.28 ; mm
5366 ; capteur   2 ; 73.86 ; mm
5378 ; capteur   3 ; 59.46 ; mm
5390 ; capteur   4 ; 66.68 ; mm
5400 ; temperature ; 26.76 ; °C
5413 ; capteur   1 ; 67.70 ; mm
5425 ; capteur   2 ; 73.02 ; mm
5438 ; capteur   3 ; 59.28 ; mm
5450 ; capteur   4 ; 66.80 ; mm
5460 ; temperature ; 26.76 ; °C
5474 ; capteur   1 ; 66.42 ; mm
5486 ; capteur   2 ; 73.42 ; mm
5498 ; capteur   3 ; 60.56 ; mm
5510 ; capteur   4 ; 66.66 ; mm
5520 ; temperature ; 26.68 ; °C
5534 ; capteur   1 ; 67.28 ; mm
5545 ; capteur   2 ; 72.68 ; mm
5558 ; capteur   3 ; 58.82 ; mm
5570 ; capteur   4 ; 66.60 ; mm
5580 ; temperature ; 26.68 ; °C
5594 ; capteur   1 ; 67.64 ; mm
5606 ; capteur   2 ; 73.22 ; mm
5618 ; capteur   3 ; 58.66 ; mm
5630 ; capteur   4 ; 66.22 ; mm
5640 ; temperature ; 26.59 ; °C
5654 ; capteur   1 ; 66.72 ; mm
5665 ; capteur   2 ; 72.82 ; mm
5678 ; capteur   3 ; 59.14 ; mm
5690 ; capteur   4 ; 66.50 ; mm
5700 ; temperature ; 26.59 ; °C
5714 ; capteur   1 ; 67.28 ; mm
5726 ; capteur   2 ; 72.10 ; mm
5738 ; capteur   3 ; 59.50 ; mm
5750 ; capteur   4 ; 66.42 ; mm
5760 ; temperature ; 26.51 ; °C
5774 ; capteur   1 ; 67.18 ; mm
5785 ; capteur   2 ; 73.10 ; mm
5798 ; capteur   3 ; 59.22 ; mm
5810 ; capteur   4 ; 66.26 ; mm
5820 ; temperature ; 26.51 ; °C
5834 ; capteur   1 ; 66.44 ; mm
5846 ; capteur   2 ; 72.94 ; mm
5858 ; capteur   3 ; 58.82 ; mm
5870 ; capteur   4 ; 66.20 ; mm
5880 ; temperature ; 26.43 ; °C
5894 ; capteur   1 ; 66.70 ; mm
5905 ; capteur   2 ; 73.26 ; mm
5918 ; capteur   3 ; 58.88 ; mm
5930 ; capteur   4 ; 65.32 ; mm
5940 ; temperature ; 26.43 ; °C
5954 ; capteur   1 ; 66.78 ; mm
5966 ; capteur   2 ; 73.00 ; mm
5978 ; capteur   3 ; 58.54 ; mm
5990 ; capteur   4 ; 65.96 ; mm
6000 ; temperature ; 26.35 ; °C
6014 ; capteur   1 ; 66.08 ; mm
6025 ; capteur   2 ; 73.30 ; mm
6037 ; capteur   3 ; 58.42 ; mm
6050 ; capteur   4 ; 65.30 ; mm
6060 ; temperature ; 26.35 ; °C
6074 ; capteur   1 ; 65.60 ; mm
6086 ; capteur   2 ; 73.04 ; mm
6098 ; capteur   3 ; 58.74 ; mm
6110 ; capteur   4 ; 65.02 ; mm
6120 ; temperature ; 26.35 ; °C
6134 ; capteur   1 ; 66.36 ; mm
6146 ; capteur   2 ; 71.74 ; mm
6157 ; capteur   3 ; 59.18 ; mm
6170 ; capteur   4 ; 65.86 ; mm
6180 ; temperature ; 26.27 ; °C
6194 ; capteur   1 ; 66.96 ; mm
6206 ; capteur   2 ; 72.84 ; mm
6218 ; capteur   3 ; 58.46 ; mm
6230 ; capteur   4 ; 66.08 ; mm
6240 ; temperature ; 26.27 ; °C
6254 ; capteur   1 ; 67.12 ; mm
6266 ; capteur   2 ; 72.26 ; mm
6277 ; capteur   3 ; 59.28 ; mm
6290 ; capteur   4 ; 65.10 ; mm
6300 ; temperature ; 26.27 ; °C
6314 ; capteur   1 ; 66.74 ; mm
6326 ; capteur   2 ; 72.44 ; mm
6338 ; capteur   3 ; 58.60 ; mm
6350 ; capteur   4 ; 65.66 ; mm
6360 ; temperature ; 26.27 ; °C
6374 ; capteur   1 ; 66.54 ; mm
6386 ; capteur   2 ; 73.32 ; mm
6397 ; capteur   3 ; 58.80 ; mm
6410 ; capteur   4 ; 65.80 ; mm
6420 ; temperature ; 26.18 ; °C
6434 ; capteur   1 ; 67.18 ; mm
6446 ; capteur   2 ; 72.92 ; mm
6458 ; capteur   3 ; 57.76 ; mm
6470 ; capteur   4 ; 65.46 ; mm
6480 ; temperature ; 26.18 ; °C
6494 ; capteur   1 ; 66.26 ; mm
6506 ; capteur   2 ; 72.56 ; mm
6517 ; capteur   3 ; 57.68 ; mm
6530 ; capteur   4 ; 65.34 ; mm
6540 ; temperature ; 26.18 ; °C
6554 ; capteur   1 ; 66.50 ; mm
6566 ; capteur   2 ; 72.66 ; mm
6578 ; capteur   3 ; 58.56 ; mm
6590 ; capteur   4 ; 65.12 ; mm
6600 ; temperature ; 26.18 ; °C
6614 ; capteur   1 ; 65.54 ; mm
6626 ; capteur   2 ; 72.96 ; mm
6637 ; capteur   3 ; 57.46 ; mm
6649 ; capteur   4 ; 65.14 ; mm
6660 ; temperature ; 26.10 ; °C
6674 ; capteur   1 ; 65.48 ; mm
6686 ; capteur   2 ; 72.24 ; mm
6698 ; capteur   3 ; 58.08 ; mm
6710 ; capteur   4 ; 66.24 ; mm
6720 ; temperature ; 26.10 ; °C
6734 ; capteur   1 ; 65.26 ; mm
6746 ; capteur   2 ; 71.38 ; mm
6758 ; capteur   3 ; 58.26 ; mm
6769 ; capteur   4 ; 65.70 ; mm
6780 ; temperature ; 26.10 ; °C
6794 ; capteur   1 ; 65.78 ; mm
6806 ; capteur   2 ; 72.98 ; mm
6818 ; capteur   3 ; 58.56 ; mm
6830 ; capteur   4 ; 63.74 ; mm
6840 ; temperature ; 26.10 ; °C
6854 ; capteur   1 ; 66.18 ; mm
6866 ; capteur   2 ; 72.64 ; mm
6878 ; capteur   3 ; 57.48 ; mm
6889 ; capteur   4 ; 65.10 ; mm
6900 ; temperature ; 26.10 ; °C
6914 ; capteur   1 ; 66.56 ; mm
6926 ; capteur   2 ; 72.90 ; mm
6938 ; capteur   3 ; 57.76 ; mm
6950 ; capteur   4 ; 64.68 ; mm
6960 ; temperature ; 26.02 ; °C
6974 ; capteur   1 ; 65.88 ; mm
6986 ; capteur   2 ; 73.38 ; mm
6998 ; capteur   3 ; 58.22 ; mm
7009 ; capteur   4 ; 65.42 ; mm
7020 ; temperature ; 26.02 ; °C
7033 ; capteur   1 ; 66.12 ; mm
7046 ; capteur   2 ; 72.58 ; mm
7058 ; capteur   3 ; 57.52 ; mm
7070 ; capteur   4 ; 64.64 ; mm
7080 ; temperature ; 26.02 ; °C
7094 ; capteur   1 ; 65.80 ; mm
7106 ; capteur   2 ; 72.18 ; mm
7118 ; capteur   3 ; 57.68 ; mm
7129 ; capteur   4 ; 65.02 ; mm
7141 ; temperature ; 26.02 ; °C
7153 ; capteur   1 ; 65.64 ; mm
7166 ; capteur   2 ; 72.58 ; mm
7178 ; capteur   3 ; 57.68 ; mm
7190 ; capteur   4 ; 64.04 ; mm
7200 ; temperature ; 26.02 ; °C
7214 ; capteur   1 ; 66.10 ; mm
7226 ; capteur   2 ; 72.64 ; mm
7238 ; capteur   3 ; 57.96 ; mm
7249 ; capteur   4 ; 65.06 ; mm
7260 ; temperature ; 25.94 ; °C
7273 ; capteur   1 ; 65.96 ; mm
7286 ; capteur   2 ; 72.66 ; mm
7298 ; capteur   3 ; 57.58 ; mm
7310 ; capteur   4 ; 64.42 ; mm
7320 ; temperature ; 25.94 ; °C
7334 ; capteur   1 ; 65.34 ; mm
7346 ; capteur   2 ; 72.82 ; mm
7358 ; capteur   3 ; 57.76 ; mm
7370 ; capteur   4 ; 64.82 ; mm
7380 ; temperature ; 25.94 ; °C
7393 ; capteur   1 ; 66.72 ; mm
7406 ; capteur   2 ; 73.26 ; mm
7418 ; capteur   3 ; 57.88 ; mm
7430 ; capteur   4 ; 64.52 ; mm
7440 ; temperature ; 25.94 ; °C
7454 ; capteur   1 ; 65.58 ; mm
7466 ; capteur   2 ; 73.38 ; mm
7478 ; capteur   3 ; 57.48 ; mm
7490 ; capteur   4 ; 64.92 ; mm
7500 ; temperature ; 25.94 ; °C
7513 ; capteur   1 ; 65.26 ; mm
7526 ; capteur   2 ; 72.76 ; mm
7538 ; capteur   3 ; 57.18 ; mm
7550 ; capteur   4 ; 64.64 ; mm
7560 ; temperature ; 25.94 ; °C
7574 ; capteur   1 ; 64.72 ; mm
7586 ; capteur   2 ; 72.42 ; mm
7598 ; capteur   3 ; 57.84 ; mm
7610 ; capteur   4 ; 64.90 ; mm
7620 ; temperature ; 25.94 ; °C
7633 ; capteur   1 ; 66.46 ; mm
7645 ; capteur   2 ; 72.84 ; mm
7658 ; capteur   3 ; 56.68 ; mm
7670 ; capteur   4 ; 65.06 ; mm
7680 ; temperature ; 25.94 ; °C
7694 ; capteur   1 ; 65.26 ; mm
7706 ; capteur   2 ; 73.20 ; mm
7718 ; capteur   3 ; 57.10 ; mm
7730 ; capteur   4 ; 63.82 ; mm
7740 ; temperature ; 25.86 ; °C
7754 ; capteur   1 ; 65.80 ; mm
7765 ; capteur   2 ; 72.90 ; mm
7778 ; capteur   3 ; 57.10 ; mm
7790 ; capteur   4 ; 64.34 ; mm
7800 ; temperature ; 25.86 ; °C
7814 ; capteur   1 ; 64.16 ; mm
7826 ; capteur   2 ; 72.60 ; mm
7838 ; capteur   3 ; 57.18 ; mm
7850 ; capteur   4 ; 64.06 ; mm
7860 ; temperature ; 25.86 ; °C
7874 ; capteur   1 ; 65.40 ; mm
7885 ; capteur   2 ; 71.90 ; mm
7898 ; capteur   3 ; 56.58 ; mm
7910 ; capteur   4 ; 64.54 ; mm
7920 ; temperature ; 25.86 ; °C
7934 ; capteur   1 ; 65.04 ; mm
7946 ; capteur   2 ; 73.08 ; mm
7958 ; capteur   3 ; 57.62 ; mm
7970 ; capteur   4 ; 63.94 ; mm
7980 ; temperature ; 25.86 ; °C
7994 ; capteur   1 ; 64.42 ; mm
8005 ; capteur   2 ; 71.88 ; mm
